                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    133,                 1.1905,                0.60342,                 1.0776,                0.95027,                0.80087,                0.90599,                0.58316,                 1.4574,                0.85933,                 1.3138,             0.00082283,             0.00082283,             0.00082283
                    134,                 1.1352,                0.60044,                  1.108,                 0.8115,                0.80123,                0.89706,                0.59095,                 1.5031,                 1.1004,                 1.3936,             0.00082063,             0.00082063,             0.00082063
                    135,                 1.1568,                0.64038,                 1.0926,                0.88834,                0.75764,                0.90229,                0.55271,                 1.5498,                 1.1361,                 1.4662,             0.00081843,             0.00081843,             0.00081843
                    136,                 1.1151,                0.60773,                 1.0741,                0.91642,                0.87606,                0.93796,                  0.563,                 1.6316,                0.80345,                 1.4053,             0.00081623,             0.00081623,             0.00081623
                    137,                 1.2188,                0.62065,                 1.0983,                0.91642,                0.87606,                0.93796,                  0.563,                 1.6316,                0.80345,                 1.4053,             0.00081403,             0.00081403,             0.00081403
                    138,                 1.2311,                0.61675,                 1.1505,                0.70885,                0.56715,                0.63324,                0.39924,                 2.1154,                 2.5639,                 1.8834,             0.00081183,             0.00081183,             0.00081183
                    139,                 1.1684,                0.57087,                 1.0838,                0.46945,                 0.4037,                0.38274,                0.23694,                 2.8325,                 4.5175,                 2.4794,             0.00080963,             0.00080963,             0.00080963
                    140,                 1.1184,                0.59745,                 1.0833,                0.35531,                0.21829,                0.29866,                0.18097,                 3.2289,                  5.324,                 2.8274,             0.00080743,             0.00080743,             0.00080743
                    141,                 1.1353,                0.56418,                  1.104,                0.35531,                0.21829,                0.29866,                0.18097,                 3.2289,                  5.324,                 2.8274,             0.00080523,             0.00080523,             0.00080523
                    142,                 1.1898,                0.63821,                 1.1152,                0.22342,                0.02857,                0.00565,                0.00113,                 4.1439,                 6.7929,                  3.678,             0.00080303,             0.00080303,             0.00080303
                    143,                 1.1428,                0.60859,                 1.0685,                0.22126,                0.02857,                 0.0044,                0.00088,                 4.4411,                   7.16,                 4.1218,             0.00080083,             0.00080083,             0.00080083
                    144,                 1.1657,                0.62006,                 1.1175,                 0.2206,                0.02857,                0.00432,                0.00086,                 4.4586,                 7.3383,                 4.2666,             0.00079863,             0.00079863,             0.00079863
                    145,                 1.0923,                0.57368,                 1.1032,                 0.2206,                0.02857,                0.00432,                0.00086,                 4.4586,                 7.3383,                 4.2666,             0.00079643,             0.00079643,             0.00079643
                    146,                   1.14,                0.60511,                  1.084,                0.22147,                0.02857,                0.01526,                0.00305,                 4.4569,                 7.2585,                 4.1174,             0.00079423,             0.00079423,             0.00079423
                    147,                 1.1436,                0.63081,                  1.103,                0.26016,                0.02857,                0.02979,                0.00894,                 4.3051,                 7.0606,                 3.8464,             0.00079203,             0.00079203,             0.00079203
                    148,                 1.1515,                0.57251,                 1.0723,                0.48501,                0.02857,                  0.034,                  0.011,                 3.6883,                 6.3988,                 3.2528,             0.00078983,             0.00078983,             0.00078983
                    149,                 1.2123,                0.59684,                 1.1276,                0.48501,                0.02857,                  0.034,                  0.011,                 3.6883,                 6.3988,                 3.2528,             0.00078763,             0.00078763,             0.00078763
                    150,                 1.1654,                0.56034,                 1.1002,                0.23076,                0.32916,                0.28363,                0.11643,                 2.9504,                 5.1624,                 2.5802,             0.00078543,             0.00078543,             0.00078543
                    151,                 1.1972,                0.57606,                 1.1157,                      1,                0.13495,                0.34285,                0.15021,                 2.9308,                 4.9019,                 2.5745,             0.00078323,             0.00078323,             0.00078323
