                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                 1.1483,                0.57779,                 1.1184,                0.93363,                0.97858,                 0.9915,                0.63184,                 1.3997,                0.53621,                  1.235,             0.00089982,             0.00089982,             0.00089982
                     99,                 1.0869,                0.55826,                 1.0789,                0.81333,                0.96986,                0.97658,                0.57361,                 1.5303,                 0.6862,                 1.3189,             0.00089762,             0.00089762,             0.00089762
                    100,                  1.185,                 0.5819,                 1.1357,                0.88205,                0.88842,                0.96304,                0.60448,                 1.4361,                0.70598,                 1.2656,             0.00089542,             0.00089542,             0.00089542
                    101,                 1.1001,                0.60475,                 1.0502,                0.88205,                0.88842,                0.96304,                0.60448,                 1.4361,                0.70598,                 1.2656,             0.00089322,             0.00089322,             0.00089322
                    102,                 1.0645,                 0.5435,                 1.0753,                0.93751,                0.95932,                0.97789,                 0.6484,                 1.3347,                0.54074,                 1.2065,             0.00089102,             0.00089102,             0.00089102
                    103,                 1.1331,                 0.5847,                 1.0942,                0.99146,                0.96526,                0.99377,                0.69731,                 1.1984,                0.45321,                 1.1329,             0.00088882,             0.00088882,             0.00088882
                    104,                 1.0521,                0.53991,                 1.0166,                0.94872,                0.95595,                0.96056,                0.65786,                 1.2254,                0.53839,                 1.1542,             0.00088662,             0.00088662,             0.00088662
                    105,                 1.1687,                0.58568,                 1.0892,                0.94872,                0.95595,                0.96056,                0.65786,                 1.2254,                0.53839,                 1.1542,             0.00088442,             0.00088442,             0.00088442
                    106,                 1.0866,                0.51108,                 1.0606,                0.74888,                0.86892,                0.92968,                0.56627,                 1.4626,                  1.047,                 1.2984,             0.00088222,             0.00088222,             0.00088222
                    107,                 1.0827,                0.56599,                 1.0234,                0.77648,                0.90318,                0.93428,                0.55686,                  1.565,                0.92109,                  1.372,             0.00088002,             0.00088002,             0.00088002
                    108,                 1.0766,                0.50067,                  1.113,                0.85882,                0.94774,                0.97235,                0.55646,                 1.6427,                0.72741,                 1.4213,             0.00087782,             0.00087782,             0.00087782
